2015-04-23 8:57:39, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[44]------ ============处理前台请求开始=============== 
2015-04-23 8:57:39, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-04-23 8:57:39, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Union&bizType=000201&certId=69361354008&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/utf8/FrontReceive.php&merId=898111457340127&orderDesc=VIP特享订单&orderId=2015042349995356&signMethod=01&txnAmt=2900&txnSubType=01&txnTime=20150423085739&txnType=01&version=5.0.0 
2015-04-23 8:57:39, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >604451768e651a75990d16d5e0c6a18b82fd2615 
2015-04-23 8:57:39, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >pF23IX28rSzzPy0ejyVU9IuCNMfWLUd+IFKcjFl+uLp5wjAskR+LMNH2L62vaI0pyRhgTkcHpMlJNcGQrJPnvdm7MC+EebZw3nlILjf9IsLfrDbnzSb3j+gVqo2NmPzLTM0kug49McGZdU6kNqvkk83iLrl+QebEBu/4f1nus9JePMXWt7xfSsgpXcJSjKFu4MiROUgvzcGH+byJLR0a/qld9Pf8QooCATRGIprwfKt/PvRUDbeg0nOCAV48yyQmOMOqfkhHRWrX8PDFGETwk+lp7cof09cGQ6xv7OeSfMcElzM0VFeyJB678IZArxU8m3RKhcEXns3ODSRv6kKasg== 
2015-04-23 8:57:39, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-04-23 8:57:39, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[92]------ 后台请求地址为>https://gateway.95516.com/gateway/api/appTransReq.do 
2015-04-23 8:57:39, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[95]------ 后台返回结果为>accessType=0&bizType=000201&certId=21267647932558653966460913033289351200&encoding=utf-8&merId=898111457340127&orderId=2015042349995356&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201504230857390309238&txnSubType=01&txnTime=20150423085739&txnType=01&version=5.0.0&signature=Cea3kon9fEjtqA1KStAj7G0+8+ls4q7p0VY9XwBKSsQBuZc4BnWG7Jl7KemR1L1wZ9PcRZSvspaoUBf5j17bV+AsVAAHQJnMpaNAN0DS3nJmG+u/I+HE1y2GjIuEQEw2+QHZJG+sFWHn6fZTgCjDF34Xl5ZMfNCYIN/Tsbz24ph6xjucYGjrdeN21vO3IuHiTRSrKGpIW1CT7gWf4mBFFWtuz9KUb1ktnHmgrWzlVlW7ThtNzGpweaMlDlVJvy/YmVPI2L+HEP3877M8R5FmUf7yjHjrToYf6ZT2YlW+y4RprQ9OcqKUu54yjXhAw54SH/i4Yg40rrqaOnL6XBOIoA== 
2015-04-23 8:57:48, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[44]------ ============处理前台请求开始=============== 
2015-04-23 8:57:48, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-04-23 8:57:48, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Union&bizType=000201&certId=69361354008&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/utf8/FrontReceive.php&merId=898111457340127&orderDesc=VIP特享订单&orderId=2015042349995356&signMethod=01&txnAmt=2900&txnSubType=01&txnTime=20150423085748&txnType=01&version=5.0.0 
2015-04-23 8:57:48, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >248022329da3daa27f265ca67de0fb215fca1f54 
2015-04-23 8:57:48, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >uJirCq+y5BxjbsK9zomcCDXeEIJTWZ/71/Rk42wmOmduhMuN2LDA2aCCI/nvmSRk8cnmz6S9zzPRT0SGme1o9xdEo01JSKhGDSEBPRgdoIPP0iZoMQMmZD9CP70I8WNqB0zJkm97+/5aZbx2W9rA58/mfHkT72ls4/C+1N/DDKL4G6pDmnF0CgoGKpTyEBNKXTx+sXD6+LhcoCpeWQido1li0/4Y9wYsMxqsUvOiwh+iWmecNks3KnDOKH2UStEDy0tXBeSDAMXyx5yuJWfw7HjDcaEUyRu8EYYcol3WkglGWW/4LkwYDtPXsMzjnyP2W0fBkLYLBgx2Ffw2hT3VAA== 
2015-04-23 8:57:48, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-04-23 8:57:48, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[92]------ 后台请求地址为>https://gateway.95516.com/gateway/api/appTransReq.do 
2015-04-23 8:57:48, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[95]------ 后台返回结果为>accessType=0&bizType=000201&certId=21267647932558653966460913033289351200&encoding=utf-8&merId=898111457340127&orderId=2015042349995356&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201504230857390309238&txnSubType=01&txnTime=20150423085748&txnType=01&version=5.0.0&signature=tZVH2Ftz+Kj/z6caubsmsKyiHt5OabZLlhuRAY+tHicpTs7L3P8O38Ejd6xZ1NluY15Z1/EI7rlGNDOUdzJUpz73Ci8bZEVSRW8dJMbfO/JOvD1EK1twtStvW29+Pxb2Q2QKxehYRxFlVrZZwAnXflryNpuLmHv+L+YUa3ZkyPSnWJU7MJgqJsr+HecfJxQXPXCwO6oyKiDTZVc08Lf2Js9mmgWx8tHK7ifnWA5Ao5rnbNhzFwNS/du//8nWqBjeNMSG0mn0HCeuexBuXA84aQ806O6UifQV+i5TcWaDpb619BuxBt4VvMHdFhk9Pd7LS9z0VX/i00BnV9+fUkbgvw== 
2015-04-23 9:07:23, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[44]------ ============处理前台请求开始=============== 
2015-04-23 9:07:23, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-04-23 9:07:23, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Union&bizType=000201&certId=69361354008&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/utf8/FrontReceive.php&merId=898111457340127&orderDesc=VIP特享订单&orderId=2015042349995356&signMethod=01&txnAmt=2900&txnSubType=01&txnTime=20150423090723&txnType=01&version=5.0.0 
2015-04-23 9:07:23, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >d3725a87b5c49fa4a3337b5e95cdffe74f88f954 
2015-04-23 9:07:23, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >WoWjlHcpLx66HeVZgv1sjaTKs+Pk6A5kh49s7mBoAkj0olIJEdgrTGxFN3e7j1BJ/3FX4xOCsAt+/QeT2uxDr0N+KRgLi7u5RzrU+zKOmQC+xjIWgwKPNXKEQHft5Lc9ug2GteirVTsyoq5wt6RHu2Kddaqaq4L4NF25v5+/Vt8afO/SML+MVrUpSVXSVKVeNWirpFepaj1iWVjT84pyimfu9Z/S/TSxZHgqriWCvret5dLz2RMvsUfGbrlk+ALxaZ4VnqMJMeRQ3giXmbKJlg02hS1SCAd+zLM5pVsHVk0JzJmtBOCrWe4ZYR/O8JuGpIhfYclbR/qLmaGF4MagHg== 
2015-04-23 9:07:23, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-04-23 9:07:23, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[92]------ 后台请求地址为>https://gateway.95516.com/gateway/api/appTransReq.do 
2015-04-23 9:07:24, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[95]------ 后台返回结果为>accessType=0&bizType=000201&certId=21267647932558653966460913033289351200&encoding=utf-8&merId=898111457340127&orderId=2015042349995356&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201504230857390309238&txnSubType=01&txnTime=20150423090723&txnType=01&version=5.0.0&signature=GnOOlz6Aaqgflptv7m89W5UmM5wI/xHdU4BMqHaTu91aBKWLXZc8R86KnEk1DQgIs1df4IVK1qslntDqsbynWXBZbjL188nBZar23Ni39O9uYi3byg5Dn79C8AqRFEhm+dGlBZ89x7PT/36OcYhz0eYqkzr+NLLyqPzWNYyBQTEfvfC3vaTRWKWUGTgpERr8JQhr/oLddGfqJCh1L/UrCyAgcWjOfeI+nzSwTBE1ljtnYEyPavvhPTPWrp4u/cC6DrQwof0D3XOIyTAmVW+s9WqnPTCRjNH5qrMwqaIOD2LNLtQMO+EYbotDG3oeEQ5obMJtqeo/3zWzwy/0FlEUxw== 
2015-04-23 9:07:36, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[44]------ ============处理前台请求开始=============== 
2015-04-23 9:07:36, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-04-23 9:07:36, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Union&bizType=000201&certId=69361354008&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/utf8/FrontReceive.php&merId=898111457340127&orderDesc=VIP特享订单&orderId=2015042349995356&signMethod=01&txnAmt=2900&txnSubType=01&txnTime=20150423090736&txnType=01&version=5.0.0 
2015-04-23 9:07:36, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >fbf47657bf52f39d300dd9172c3621bad3c56ef2 
2015-04-23 9:07:36, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >UHdNmUnbfA4VBfyI2H9us9r1lv0Piii41hY+XPvHWggkKZ4hS1nBBylKpZy1EnZ8d3vpTrlAunYqSFoFx0kH9SsVI8PpzifvkvvJ2rgKWJUpWN67p1pIcKV2CAr+cwI4Dm8d3T8BhF9zAypsxaXzinFu4klub5sg5ymZp3qh+BaTPN7wJVx+1al09SAtY85PeqFFULWxyv4BqpYAIlDjaJA8Fe2pTvh3uc/wTXzIYJy3N/9lhLeJi3rN3bApjGVDTLxXdxO+hwP+JvYZDgZZkPPR7WZO8Jgx4eRxI0zuwcoWU/5yKMsoIBHs6ma0wfWAn163kj1uhEjMidxYNSHitQ== 
2015-04-23 9:07:36, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-04-23 9:07:36, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[92]------ 后台请求地址为>https://gateway.95516.com/gateway/api/appTransReq.do 
2015-04-23 9:07:36, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[95]------ 后台返回结果为>accessType=0&bizType=000201&certId=21267647932558653966460913033289351200&encoding=utf-8&merId=898111457340127&orderId=2015042349995356&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201504230857390309238&txnSubType=01&txnTime=20150423090736&txnType=01&version=5.0.0&signature=G79vsp4AaIWtCF7EQylO4mHAU9ZQkz75sGf7AyWfBT/Qv3X3aGt3wzE+l1PIh+29wY2Fo5PxnOoKnGXHurAd6lPC6VEcKhCRUOnY/jqAF7VTAfM0JaA/OE26byBQb4hKoQ5A23chvK8kxSeFAFUgkMFX5kWAeniB1hpzpNrpenX7eEBHNG5+rH6lJNVIepocOCyaPpPD+nRQRnwy+ZUH1Y5N4/FAfphhZT/r07HeJF6ooZrphhTdIbttTLqESnSkBPW4Yv/ZNFRshoMX/jskKYDIgxtAUnJmMlacNMR/T55EyajQ+5iKzx9srFL5qYRFqpD/DXr77Bfn/q+SZmDJHw== 
2015-04-23 9:08:06, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[44]------ ============处理前台请求开始=============== 
2015-04-23 9:08:06, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-04-23 9:08:06, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Union&bizType=000201&certId=69361354008&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/utf8/FrontReceive.php&merId=898111457340127&orderDesc=VIP特享订单&orderId=2015042349995356&signMethod=01&txnAmt=2900&txnSubType=01&txnTime=20150423090806&txnType=01&version=5.0.0 
2015-04-23 9:08:06, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >d29c0adb23bb2f9d69def1177a6f0cf92fff7ebb 
