2015-04-20 15:16:51, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[44]------ ============处理前台请求开始=============== 
2015-04-20 15:16:51, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-04-20 15:16:51, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Union&bizType=000201&certId=69361354008&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/utf8/FrontReceive.php&merId=898111457340127&orderDesc=VIP特享订单&orderId=2015042048561011&signMethod=01&txnAmt=2900&txnSubType=01&txnTime=20150420151651&txnType=01&version=5.0.0 
2015-04-20 15:16:51, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >430e642ef6edc5ead73249dea91dc01e037a6a41 
2015-04-20 15:16:51, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >YxTeKt6EuuyXD5OJKP2CPtUcJoVTz113Wls8mFrfiihUSfWxdw7f53pmNvDnhNKpl6ErKsbI4g3yap+nZKboEG5krur0qxcwAfQpDwlMpqkXmBCKt9Pe6XnTW9ppDuKAZcPWSIpf0SATSOs+h9nFW12DPf206ICy5v64gc3g1+A0MBbAZoIVMs08TkZBQFnTw8jmKxLR7q4BuZXCiHAY7WU/pB73AnOfSeut+BRTJaDV/jYCXSwQxic0xkGZ6dvxtsbxwyW9MfEna24B8pfmN6XDw/0xujwNVA7dou3ZJ1HaJ7URVmG8nxi/7ZBjuojNTgiyUCDqkedSKKk1LxCkFw== 
2015-04-20 15:16:51, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-04-20 15:16:51, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[92]------ 后台请求地址为>https://gateway.95516.com/gateway/api/appTransReq.do 
2015-04-20 15:16:51, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[95]------ 后台返回结果为>accessType=0&bizType=000201&certId=21267647932558653966460913033289351200&encoding=utf-8&merId=898111457340127&orderId=2015042048561011&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201504201516518783298&txnSubType=01&txnTime=20150420151651&txnType=01&version=5.0.0&signature=Y1Kne2Gje5Dj9YGd99TY06k75AXXnfj9WQjiQO4n/sVTaEGxQ2bcgOXZSQ+wGJSYi7+psYw0UEBnDtUmaYsn4wk/1CafN1mCdHEyolthdfN+VUo0QyZdc5qcbNv21T/P4nI4XcKLhSwVtjWGU0jYGaUrb02ue3mR3VoEV75j17pQKdH7oEBKSfMpGIoqSVNYJDrE2Frsf1e35h2iL0ccomp7scxXXUosFQNEH7sT+Rmz21dZh8xjcMzTLsJP0D9YYyuAhAdqn5NUO6J90zvY1i//t9OpoBzQYdq/AOzkTCqZ4qfX6NGiIweE68SbWNmAfHAzddNxtNsQWwduPNrJhA== 
2015-04-20 15:16:58, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[44]------ ============处理前台请求开始=============== 
2015-04-20 15:16:58, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-04-20 15:16:58, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Union&bizType=000201&certId=69361354008&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/utf8/FrontReceive.php&merId=898111457340127&orderDesc=VIP特享订单&orderId=2015042048561011&signMethod=01&txnAmt=2900&txnSubType=01&txnTime=20150420151658&txnType=01&version=5.0.0 
2015-04-20 15:16:58, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >f8177dd55db0a4152742a9bdc856b71ff5e84192 
2015-04-20 15:16:58, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >xEnHylJp2jG5iSTazzBtypcnzQmBdLdw3AG2ltRkq8I2YqY2oWKskIRiXNN5BWXUF2uLvUPWdcrOjOu5GtoAx8T0YRKobbUW2aQQ4o+PWZU/zqftILrISWumS2CjgfK/FPtHF93xlHHTfDvOEgyofSxAiX9JSaO0ElsXjY4pJ+gZd8ltuIf3cOVCH72VUOeGjsGvebUVzZR8xwl1OXGwQM18Fjsp682Jr/TSEXX709xLcicx0rmbE1ppJWfrAl/aTbCzPFoChmOrqcW4R2IN1fDjQoY/tm3suq+hmgSgFGNTxC8Nrj4FeCvE9LeLam/NeOEqSaablH5hU7/dRxZCfQ== 
2015-04-20 15:16:58, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-04-20 15:16:58, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[92]------ 后台请求地址为>https://gateway.95516.com/gateway/api/appTransReq.do 
2015-04-20 15:16:58, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[95]------ 后台返回结果为>accessType=0&bizType=000201&certId=21267647932558653966460913033289351200&encoding=utf-8&merId=898111457340127&orderId=2015042048561011&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201504201516518783298&txnSubType=01&txnTime=20150420151658&txnType=01&version=5.0.0&signature=bIkl3ZZ7pffIIkNS/2pKxwEGUQnbhuVLF/8INwVQnZ1SUp+cDYM9XvZkc+iwasHhN88YxajHEnATl6sKzcxDO464rOXyTqGbciJGShaY9KSgyb291m7XVCpHD5DesuGgI5AJPwgrLoSwlATBtl1vEE2fPLrji44Ml9/aQ5Uw04n6Gs5Djx3Fm+p9NxdDl7S9vO8FpvMEiXgD0eKZ4Dznw3MmVC81HxsVgE8ucYwArnNabbWuLzqI9gPa5+ij78acRYAAzcQujzdQIC9AmI80Zi21F5JeLtz3z6YaXePDHt2/mOzz/a6Sc5VEVNE0HDWiFyI2QiNt39KP5X06F7Pgfw== 
2015-04-20 15:18:50, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[44]------ ============处理前台请求开始=============== 
2015-04-20 15:18:50, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-04-20 15:18:50, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Union&bizType=000201&certId=69361354008&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/utf8/FrontReceive.php&merId=898111457340127&orderDesc=VIP特享订单&orderId=2015042048561011&signMethod=01&txnAmt=2900&txnSubType=01&txnTime=20150420151850&txnType=01&version=5.0.0 
2015-04-20 15:18:50, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >0315a8abc833e5f108a0c5e0177b4011f2587332 
2015-04-20 15:18:50, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[33]------ 签名串为 >bJdMdb4wjPlUqfZATvRZnS6Q7JQFxsjryXMsGm4wgjmFSBJR5Pe7xHv451sc74ja3U9GIgPDb7Yg5rO+ok+UcM+am7k9Mu/cBBtdxjSnABlbJGfeUGFHSuJiXC5fS34+yLvb3dI/j1jjrik57e4wHwde395upBidiIf72DGegTVP3miHnT1zIzu1obZQ7XD2bCrBwntJ0uJwB650Q2arvz5eqLexceKV1xQYfk5PDLirDzT8lmltGqZDIzpLHe4bnvObCAZgcdzdPERIBCS9506uKZJcLV3EwgB7YsT8kSUXEpWhCGRoNPgp7XJesGpkwBsuDIfPmr750qGfwTQI2g== 
2015-04-20 15:18:50, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[38]------ =====签名报文结束====== 
2015-04-20 15:18:50, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[92]------ 后台请求地址为>https://gateway.95516.com/gateway/api/appTransReq.do 
2015-04-20 15:18:50, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[95]------ 后台返回结果为>accessType=0&bizType=000201&certId=21267647932558653966460913033289351200&encoding=utf-8&merId=898111457340127&orderId=2015042048561011&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201504201516518783298&txnSubType=01&txnTime=20150420151850&txnType=01&version=5.0.0&signature=Pz0Kmx+b6IXIByCbGDGBOoZjpJ3GfuYxWLdiX7YB40yN2z9xx4kK0Ct7UZQJ0DZE1C0wFoPlwnRgyJ3AsvlRLVsKCjygOLTebq64bUUoSa7HTdedFCltPHlKpH4y4dhOReA6sj5cFJX+emcoyxl+BTRvC+mhvU7tveMXEKrxXX10GxDMoLSst5WJBNVk2n/5F39eIXt8RYP80tP7ie6EqrDyX9VS/s010Sc1rzr7yRPe6VsqqeD8Yh9SGInqtY5Z4H5Yi1ukZctT50ZMibTax/FFB2NW9SHjVRy4yZZ62nQ1l3B85m/7+0V0SE0M9dODUFtwHHtuKC2bopVZeDQC/w== 
2015-04-20 15:21:30, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/gettn.php ], Line[44]------ ============处理前台请求开始=============== 
2015-04-20 15:21:30, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-04-20 15:21:30, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[22]------ 签名key=val&...串 >accessType=0&backUrl=http://master.huishare.com/api.php?s=Union&bizType=000201&certId=69361354008&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://127.0.0.1/unionpay/utf8/FrontReceive.php&merId=898111457340127&orderDesc=VIP特享订单&orderId=2015042049985497&signMethod=01&txnAmt=201900&txnSubType=01&txnTime=20150420152130&txnType=01&version=5.0.0 
2015-04-20 15:21:30, INFO, 116.31.80.211, File[ /alidata/www/default/unionpay/utf8/func/secureUtil.php ], Line[25]------ 摘要sha1x16 >687c3e2d97b2bf0b471eea193593b98330742a8f 
